Entity,Code,Year,crop(tonnes per hectare)
Sukabumi,SKB,1961,7.0
Sukabumi,SKB,1962,6.8519
Sukabumi,SKB,1963,6.8421
Sukabumi,SKB,1964,6.8333
Sukabumi,SKB,1965,6.8254
Sukabumi,SKB,1966,6.8182
Sukabumi,SKB,1967,6.8116
Sukabumi,SKB,1968,6.7123
Sukabumi,SKB,1969,6.7105
Sukabumi,SKB,1970,6.7089
Sukabumi,SKB,1971,6.6265
Sukabumi,SKB,1972,6.6279
Sukabumi,SKB,1973,6.6292
Sukabumi,SKB,1974,6.5591
Sukabumi,SKB,1975,6.5625
Sukabumi,SKB,1976,6.5657
Sukabumi,SKB,1977,6.7
Sukabumi,SKB,1978,6.7
Sukabumi,SKB,1979,6.7
Sukabumi,SKB,1980,6.7
Sukabumi,SKB,1981,6.4762
Sukabumi,SKB,1982,6.3636
Sukabumi,SKB,1983,6.25
Sukabumi,SKB,1984,5.9231
Sukabumi,SKB,1985,5.9231
Sukabumi,SKB,1986,5.7143
Sukabumi,SKB,1987,6.0
Sukabumi,SKB,1988,5.9375
Sukabumi,SKB,1989,5.8824
Sukabumi,SKB,1990,5.8333
Sukabumi,SKB,1991,5.7895
Sukabumi,SKB,1992,5.5556
Sukabumi,SKB,1993,5.7410000000000005
Sukabumi,SKB,1994,5.8352
Sukabumi,SKB,1995,5.9459
Sukabumi,SKB,1996,5.8824
Sukabumi,SKB,1997,6.1111
Sukabumi,SKB,1998,6.3158
Sukabumi,SKB,1999,6.5
Sukabumi,SKB,2000,6.6667
Sukabumi,SKB,2001,6.5654
Sukabumi,SKB,2002,6.5684
Sukabumi,SKB,2003,6.5611
Sukabumi,SKB,2004,6.5403
Sukabumi,SKB,2005,6.1598
Sukabumi,SKB,2006,6.0734
Sukabumi,SKB,2007,5.9703
Sukabumi,SKB,2008,5.8841
Sukabumi,SKB,2009,5.8155
Sukabumi,SKB,2010,5.6364
Sukabumi,SKB,2011,5.8027
Sukabumi,SKB,2012,5.8333
Sukabumi,SKB,2013,5.9009
Sukabumi,SKB,2014,5.9513
Sukabumi,SKB,2015,5.7998
Sukabumi,SKB,2016,5.7815
Sukabumi,SKB,2017,5.7632
Sukabumi,SKB,2018,5.7449
Sukabumi,SKB,2019,5.7266
Sukabumi,SKB,2020,5.7083
